STATE/UT,DISTRICT,YEAR,crime_type,crime_count,Region
HARYANA,AMBALA,2001,MURDER,26,North
HARYANA,AMBALA,2001,ATTEMPT TO MURDER,23,North
HARYANA,AMBALA,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,2,North
HARYANA,AMBALA,2001,RAPE,11,North
HARYANA,AMBALA,2001,CUSTODIAL RAPE,0,North
HARYANA,AMBALA,2001,OTHER RAPE,11,North
HARYANA,AMBALA,2001,KIDNAPPING & ABDUCTION,38,North
HARYANA,AMBALA,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,32,North
HARYANA,AMBALA,2001,KIDNAPPING AND ABDUCTION OF OTHERS,6,North
HARYANA,AMBALA,2001,DACOITY,2,North
HARYANA,AMBALA,2001,PREPARATION AND ASSEMBLY FOR DACOITY,5,North
HARYANA,AMBALA,2001,ROBBERY,18,North
HARYANA,AMBALA,2001,BURGLARY,316,North
HARYANA,AMBALA,2001,THEFT,365,North
HARYANA,AMBALA,2001,AUTO THEFT,154,North
HARYANA,AMBALA,2001,OTHER THEFT,211,North
HARYANA,AMBALA,2001,RIOTS,5,North
HARYANA,AMBALA,2001,CRIMINAL BREACH OF TRUST,13,North
HARYANA,AMBALA,2001,CHEATING,76,North
HARYANA,AMBALA,2001,COUNTERFIETING,0,North
HARYANA,AMBALA,2001,ARSON,11,North
HARYANA,AMBALA,2001,HURT/GREVIOUS HURT,280,North
HARYANA,AMBALA,2001,DOWRY DEATHS,11,North
HARYANA,AMBALA,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,27,North
HARYANA,AMBALA,2001,INSULT TO MODESTY OF WOMEN,0,North
HARYANA,AMBALA,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,132,North
HARYANA,AMBALA,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,North
HARYANA,AMBALA,2001,CAUSING DEATH BY NEGLIGENCE,0,North
HARYANA,BHIWANI,2001,MURDER,40,North
HARYANA,BHIWANI,2001,ATTEMPT TO MURDER,20,North
HARYANA,BHIWANI,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,8,North
HARYANA,BHIWANI,2001,RAPE,10,North
HARYANA,BHIWANI,2001,CUSTODIAL RAPE,0,North
HARYANA,BHIWANI,2001,OTHER RAPE,10,North
HARYANA,BHIWANI,2001,KIDNAPPING & ABDUCTION,9,North
HARYANA,BHIWANI,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,7,North
HARYANA,BHIWANI,2001,KIDNAPPING AND ABDUCTION OF OTHERS,2,North
HARYANA,BHIWANI,2001,DACOITY,0,North
HARYANA,BHIWANI,2001,PREPARATION AND ASSEMBLY FOR DACOITY,10,North
HARYANA,BHIWANI,2001,ROBBERY,19,North
HARYANA,BHIWANI,2001,BURGLARY,132,North
HARYANA,BHIWANI,2001,THEFT,190,North
HARYANA,BHIWANI,2001,AUTO THEFT,120,North
HARYANA,BHIWANI,2001,OTHER THEFT,70,North
HARYANA,BHIWANI,2001,RIOTS,109,North
HARYANA,BHIWANI,2001,CRIMINAL BREACH OF TRUST,26,North
HARYANA,BHIWANI,2001,CHEATING,54,North
HARYANA,BHIWANI,2001,COUNTERFIETING,1,North
HARYANA,BHIWANI,2001,ARSON,16,North
HARYANA,BHIWANI,2001,HURT/GREVIOUS HURT,267,North
HARYANA,BHIWANI,2001,DOWRY DEATHS,33,North
HARYANA,BHIWANI,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,17,North
HARYANA,BHIWANI,2001,INSULT TO MODESTY OF WOMEN,0,North
HARYANA,BHIWANI,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,43,North
HARYANA,BHIWANI,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,North
HARYANA,BHIWANI,2001,CAUSING DEATH BY NEGLIGENCE,2,North
HARYANA,FARIDABAD,2001,MURDER,68,North
HARYANA,FARIDABAD,2001,ATTEMPT TO MURDER,38,North
HARYANA,FARIDABAD,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,7,North
HARYANA,FARIDABAD,2001,RAPE,37,North
HARYANA,FARIDABAD,2001,CUSTODIAL RAPE,0,North
HARYANA,FARIDABAD,2001,OTHER RAPE,37,North
HARYANA,FARIDABAD,2001,KIDNAPPING & ABDUCTION,78,North
HARYANA,FARIDABAD,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,53,North
HARYANA,FARIDABAD,2001,KIDNAPPING AND ABDUCTION OF OTHERS,25,North
HARYANA,FARIDABAD,2001,DACOITY,7,North
HARYANA,FARIDABAD,2001,PREPARATION AND ASSEMBLY FOR DACOITY,25,North
HARYANA,FARIDABAD,2001,ROBBERY,44,North
HARYANA,FARIDABAD,2001,BURGLARY,236,North
HARYANA,FARIDABAD,2001,THEFT,668,North
HARYANA,FARIDABAD,2001,AUTO THEFT,444,North
HARYANA,FARIDABAD,2001,OTHER THEFT,224,North
HARYANA,FARIDABAD,2001,RIOTS,133,North
HARYANA,FARIDABAD,2001,CRIMINAL BREACH OF TRUST,117,North
HARYANA,FARIDABAD,2001,CHEATING,61,North
HARYANA,FARIDABAD,2001,COUNTERFIETING,6,North
HARYANA,FARIDABAD,2001,ARSON,14,North
HARYANA,FARIDABAD,2001,HURT/GREVIOUS HURT,304,North
HARYANA,FARIDABAD,2001,DOWRY DEATHS,19,North
HARYANA,FARIDABAD,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,47,North
HARYANA,FARIDABAD,2001,INSULT TO MODESTY OF WOMEN,242,North
HARYANA,FARIDABAD,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,108,North
HARYANA,FARIDABAD,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,North
HARYANA,FARIDABAD,2001,CAUSING DEATH BY NEGLIGENCE,18,North
HARYANA,FATEHABAD,2001,MURDER,18,North
HARYANA,FATEHABAD,2001,ATTEMPT TO MURDER,23,North
HARYANA,FATEHABAD,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,2,North
HARYANA,FATEHABAD,2001,RAPE,17,North
HARYANA,FATEHABAD,2001,CUSTODIAL RAPE,0,North
HARYANA,FATEHABAD,2001,OTHER RAPE,17,North
HARYANA,FATEHABAD,2001,KIDNAPPING & ABDUCTION,20,North
HARYANA,FATEHABAD,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,13,North
HARYANA,FATEHABAD,2001,KIDNAPPING AND ABDUCTION OF OTHERS,7,North
HARYANA,FATEHABAD,2001,DACOITY,3,North
HARYANA,FATEHABAD,2001,PREPARATION AND ASSEMBLY FOR DACOITY,5,North
HARYANA,FATEHABAD,2001,ROBBERY,11,North
HARYANA,FATEHABAD,2001,BURGLARY,96,North
HARYANA,FATEHABAD,2001,THEFT,141,North
HARYANA,FATEHABAD,2001,AUTO THEFT,61,North
HARYANA,FATEHABAD,2001,OTHER THEFT,80,North
HARYANA,FATEHABAD,2001,RIOTS,11,North
HARYANA,FATEHABAD,2001,CRIMINAL BREACH OF TRUST,1,North
HARYANA,FATEHABAD,2001,CHEATING,52,North
HARYANA,FATEHABAD,2001,COUNTERFIETING,2,North
HARYANA,FATEHABAD,2001,ARSON,6,North
HARYANA,FATEHABAD,2001,HURT/GREVIOUS HURT,210,North
HARYANA,FATEHABAD,2001,DOWRY DEATHS,17,North
HARYANA,FATEHABAD,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,17,North
HARYANA,FATEHABAD,2001,INSULT TO MODESTY OF WOMEN,0,North
HARYANA,FATEHABAD,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,93,North
HARYANA,FATEHABAD,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,North
HARYANA,FATEHABAD,2001,CAUSING DEATH BY NEGLIGENCE,1,North
HARYANA,GRP,2001,MURDER,24,North
HARYANA,GRP,2001,ATTEMPT TO MURDER,3,North
HARYANA,GRP,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,0,North
HARYANA,GRP,2001,RAPE,0,North
HARYANA,GRP,2001,CUSTODIAL RAPE,0,North
HARYANA,GRP,2001,OTHER RAPE,0,North
HARYANA,GRP,2001,KIDNAPPING & ABDUCTION,2,North
HARYANA,GRP,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,2,North
HARYANA,GRP,2001,KIDNAPPING AND ABDUCTION OF OTHERS,0,North
HARYANA,GRP,2001,DACOITY,0,North
HARYANA,GRP,2001,PREPARATION AND ASSEMBLY FOR DACOITY,0,North
HARYANA,GRP,2001,ROBBERY,5,North
HARYANA,GRP,2001,BURGLARY,1,North
HARYANA,GRP,2001,THEFT,169,North
HARYANA,GRP,2001,AUTO THEFT,35,North
HARYANA,GRP,2001,OTHER THEFT,134,North
HARYANA,GRP,2001,RIOTS,9,North
HARYANA,GRP,2001,CRIMINAL BREACH OF TRUST,1,North
HARYANA,GRP,2001,CHEATING,3,North
HARYANA,GRP,2001,COUNTERFIETING,2,North
HARYANA,GRP,2001,ARSON,0,North
HARYANA,GRP,2001,HURT/GREVIOUS HURT,11,North
HARYANA,GRP,2001,DOWRY DEATHS,5,North
HARYANA,GRP,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1,North
HARYANA,GRP,2001,INSULT TO MODESTY OF WOMEN,26,North
HARYANA,GRP,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,0,North
HARYANA,GRP,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,North
HARYANA,GRP,2001,CAUSING DEATH BY NEGLIGENCE,7,North
HARYANA,GURGAON,2001,MURDER,69,North
HARYANA,GURGAON,2001,ATTEMPT TO MURDER,30,North
HARYANA,GURGAON,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,5,North
HARYANA,GURGAON,2001,RAPE,32,North
HARYANA,GURGAON,2001,CUSTODIAL RAPE,0,North
HARYANA,GURGAON,2001,OTHER RAPE,32,North
HARYANA,GURGAON,2001,KIDNAPPING & ABDUCTION,50,North
HARYANA,GURGAON,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,32,North
HARYANA,GURGAON,2001,KIDNAPPING AND ABDUCTION OF OTHERS,18,North
HARYANA,GURGAON,2001,DACOITY,4,North
HARYANA,GURGAON,2001,PREPARATION AND ASSEMBLY FOR DACOITY,15,North
HARYANA,GURGAON,2001,ROBBERY,51,North
HARYANA,GURGAON,2001,BURGLARY,294,North
HARYANA,GURGAON,2001,THEFT,794,North
HARYANA,GURGAON,2001,AUTO THEFT,435,North
HARYANA,GURGAON,2001,OTHER THEFT,359,North
HARYANA,GURGAON,2001,RIOTS,78,North
HARYANA,GURGAON,2001,CRIMINAL BREACH OF TRUST,55,North
HARYANA,GURGAON,2001,CHEATING,29,North
HARYANA,GURGAON,2001,COUNTERFIETING,2,North
HARYANA,GURGAON,2001,ARSON,20,North
